Kapitelüberschriften;Nummerierung;H-003;H-005;H-021;H-016;H-001;H-015;H-012;H-006;H-007;dis H-003 H-005;dis H-003 H-021;dis H-003 H-016;dis H-003 H-001;dis H-003 H-015;dis H-003 H-012;dis H-003 H-006;dis H-003 H-007;dis H-005 H-021;dis H-005 H-016;dis H-005 H-001;dis H-005 H-015;dis H-005 H-012;dis H-005 H-006;dis H-005 H-007;dis H-021 H-016;dis H-021 H-001;dis H-021 H-015;dis H-021 H-012;dis H-021 H-006;dis H-021 H-007;dis H-016 H-001;dis H-016 H-015;dis H-016 H-012;dis H-016 H-006;dis H-016 H-007;dis H-001 H-015;dis H-001 H-012;dis H-001 H-006;dis H-001 H-007;dis H-015 H-012;dis H-015 H-006;dis H-015 H-007;dis H-012 H-006;dis H-012 H-007;dis H-006 H-007
0 Prolog;0;;;hir be gunnet ʒik dit bock vnde het;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;1;;;ſante maꝛigen leuend vnde eꝛe boꝛt;;;;Dit bok het ſdte manē leued;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;2;MAria muͦter kuͦneginnen;;Maꝛia modeꝛr konyngȳnen;MAꝛia mutte͛ konigen;Maria muter kongynne;MAria Mueter chvniginne;Aria moter konigīne;;;1;0.46;0.38;0.25;0.25;0.38;1;1;1;1;1;1;1;1;1;0.42;0.33;0.54;0.38;1;1;0.35;0.39;0.35;1;1;0.26;0.25;1;1;0.35;1;1;1;1;1
;3;Alder werlde loſerinnen;;aldeꝛ werꝛde loʒeꝛ ynnen;alle der we͛ter eȳ eꝛloſe͛n;aller werlt loſerynne;alle der werlt ein loeſaerinnē;Alter werlde loſerīne;;;1;0.25;0.57;0.22;0.37;0.17;1;1;1;1;1;1;1;1;1;0.61;0.38;0.57;0.38;1;1;0.57;0.47;0.57;1;1;0.37;0.24;1;1;0.43;1;1;1;1;1
;4;vir lich mir frauwe ſoliche ſīne;;voꝛ leue my vꝛowe ſulke ʒinnen;Vo͛leihe mir volkūliche ſȳne;vor lyhe mir frauwe ſolche ſynne;verleiche mir frawe ſolche ſinne;vor lie mÿ Wrowe ſalke ſynne;;;1;0.59;0.53;0.22;0.25;0.44;1;1;1;1;1;1;1;1;1;0.6;0.47;0.5;0.33;1;1;0.47;0.44;0.55;1;1;0.22;0.31;1;1;0.41;1;1;1;1;1
;5;D aʒ ich diſſes buͦchelines beginne;;Dat ick des bockes alſo be ginnen;das ich des buches ſo begȳne;das ich des buchelins begynne;daʒ ich ditʒ buͦcheleim beginne.;Dat ik des bokes beghynne;;;1;0.49;0.37;0.23;0.26;0.49;1;1;1;1;1;1;1;1;1;0.3;0.39;0.48;0.33;1;1;0.17;0.35;0.38;1;1;0.29;0.34;1;1;0.52;1;1;1;1;1
;6;d a ich dich moge loben inne;;dat ick des moge lonen ynnen;;das ich dich lobe muſſe dar ynne;I daʒ mvge loben dar inne.;;;;1;0.32;1;0.41;0.5;1;1;1;1;1;1;1;1;1;1;1;0.5;0.57;1;1;1;1;1;1;1;1;0.53;1;1;1;1;1;1;1;1;1
;7;D a von ich din genade gewinne;;Dat ick van dy dyne gnade wynnen;da von ich deȳ dgnade finde;Da von ich dyn gnade gewynne;V da von ich deine gnade gewunt.;Daꝛ vā ik dyne gnade ghe wȳne;;;1;0.5;0.33;0.13;0.26;0.43;1;1;1;1;1;1;1;1;1;0.53;0.41;0.56;0.47;1;1;0.29;0.39;0.57;1;1;0.26;0.3;1;1;0.45;1;1;1;1;1
;8;v nde iheſus dines kindes minne;;vnde yheſus dines cyndes mynnen;vnd ihs deynes kindes mȳne;vnde iheſus dynes kindes mynne;V nde ieſus deines chindes minne.;vn̄ ihus dynes kynndes myne;;;1;0.19;0.29;0.1;0.12;0.32;1;1;1;1;1;1;1;1;1;0.35;0.16;0.25;0.32;1;1;0.2;0.31;0.22;1;1;0.22;0.23;1;1;0.38;1;1;1;1;1
;9;D es hilf mir wiſe meiſterinne;des hilfe mir weiſev meiſterinne‧;des helpp my wyʒe meyſteꝛȳnen;Des h holf mir weyfe meȳſthyne;Des hilffe mir wiſe meiſterynne;des hilf miͤr weiſe maiſterine.;Des helpe my Wyſe meyſtarīne;;;0.15;0.43;0.42;0.13;0.17;0.37;1;1;0.42;0.42;0.15;0.18;0.36;1;1;0.45;0.39;0.5;0.23;1;1;0.42;0.39;0.42;1;1;0.23;0.32;1;1;0.4;1;1;1;1;1
